Episode,Avg length,Avg reward
200,99,-7.016109946862527
400,99,-7.043823046757127
600,99,-7.000344116704191
800,99,-6.937478443535571
1000,99,-6.945262701343758
1200,99,-6.920651313243963
1400,99,-6.939567227133129
1600,99,-6.972263638769814
1800,99,-6.932855582135165
2000,99,-7.021135061174602
2200,99,-6.925178887151857
2400,99,-6.913209272989345
2600,99,-6.888338105485244
2800,99,-6.9308447834438285
3000,99,-6.889502926991425
3200,99,-6.888089603259076
3400,99,-6.893018644524804
3600,99,-6.907652059861642
3800,99,-6.860129059845858
4000,99,-6.874721970967295
4200,99,-6.8545984697529105
4400,99,-6.882988299149717
4600,99,-6.871505412674002
4800,99,-6.882543748377799
5000,99,-6.789718514934458
5200,99,-6.733816784564442
5400,99,-6.771703872463377
5600,99,-6.585227152222935
5800,99,-6.557322746863208
6000,99,-6.487671583088306
6200,99,-6.329265837472036
6400,99,-5.991209841714076
6600,99,-5.945582194701865
6800,99,-5.2314650864555645
7000,100,-3.342039435664786
7200,99,-4.511640788724098
7400,108,10.58184757357923
7600,125,36.425626329781274
7800,164,97.32484762150358
8000,170,107.61788374025362
8200,174,112.35977445415003
8400,170,105.26989360485577
8600,176,114.90986287888232
8800,174,112.77859309318944
9000,178,117.5396468022717
9200,185,126.79446757877302
9400,195,141.55844067296638
9600,214,170.5231122359848
9800,226,191.68079410448576
10000,238,209.93799223611575
10200,264,249.65993693309977
10400,254,247.43561417790886
10600,289,301.08222298008906
10800,322,360.9542333581625
11000,316,399.34836654536235
11200,419,631.0888320468346
11400,460,822.7495057597616
11600,521,1093.3518938505867
11800,526,1311.1995994612014
12000,557,1596.7576899066946
12200,571,1821.63677924034
12400,573,1825.7780433071116
12600,573,1971.8390585020784
12800,582,2018.0192880647726
13000,569,1998.743675429928
13200,581,2168.8079172096823
13400,581,2202.162303175014
13600,591,2263.248792497494
13800,588,2391.7972687484084
14000,591,2378.8426249418703
14200,593,2412.3443262430346
14400,581,2376.171004405621
14600,593,2407.580070618876
14800,581,2346.266346227772
15000,583,2347.9588890923933
15200,588,2442.625532775288
15400,598,2527.322301097974
15600,589,2560.337174121436
15800,591,2534.3852359995526
16000,585,2503.2024412280307
16200,591,2572.2661103253167
16400,595,2616.0086034513083
16600,591,2599.508206488388
16800,585,2558.9646765208367
17000,598,2566.774183332302
17200,596,2700.337757916425
17400,590,2679.564546261052
17600,591,2596.6288275519
17800,594,2587.4479465262607
18000,594,2570.81643995953
18200,589,2666.3851967350092
18400,591,2685.1086893477304
18600,597,2775.9039232230302
18800,596,2763.997575767898
19000,597,2677.4037701789016
19200,596,2748.6537689121733
19400,593,2632.813838415729
19600,589,2619.3715033312387
19800,578,2615.312523802358
20000,586,2571.385816140866
20200,595,2700.440157234056
20400,593,2700.2608175146042
20600,598,2662.7284372410313
20800,591,2665.5933406458475
21000,589,2726.1208642028064
21200,585,2583.5331373719555
21400,580,2623.4911583877292
21600,583,2683.147704036221
21800,590,2612.9318459708547
22000,596,2663.2352727720568
22200,594,2626.0633143720456
22400,596,2580.8768656556676
22600,596,2686.954302699393
22800,594,2649.477588514768
23000,596,2609.595545612813
23200,590,2662.407834870458
23400,591,2707.9152858231937
23600,591,2805.1561573402664
23800,599,2828.0361963297996
24000,596,2685.5508573185384
24200,590,2736.046244963343
24400,593,2796.4561703418067
24600,597,2748.2675337631267
24800,597,2748.93042339808
25000,591,2618.6451697435473
25200,593,2879.5311160159144
25400,596,2841.0703274836847
25600,597,2781.1674770218237
25800,596,2798.6036516161826
26000,599,2770.4953947772615
26200,594,2733.9637775216165
26400,595,2744.2896434361332
26600,595,2740.871787463586
26800,596,2748.5980228800518
27000,598,2773.6648499522107
27200,596,2788.8133375780253
27400,599,2752.665919466561
27600,595,2786.749888002199
27800,595,2817.4659832808543
28000,594,2740.027602596851
28200,596,2770.996243784458
28400,596,2776.787390806396
28600,595,2746.893651792245
28800,593,2774.4180425337136
29000,593,2822.527061281628
29200,594,2757.0666914849703
29400,592,2683.166901533575
29600,595,2830.869726804172
29800,597,2861.9099952231713
30000,594,2799.222767626281
30200,598,2827.6005387837604
30400,596,2897.0200261660484
30600,595,2820.797901051814
30800,594,2800.2253817920423
31000,598,2764.5997421863785
31200,595,2748.3816636176266
31400,597,2857.588864233235
31600,596,2782.870745366101
31800,599,2833.3311604687483
32000,593,2788.038699620025
32200,598,2788.5523295373428
32400,594,2817.870996184117
32600,595,2794.326351859879
32800,593,2759.316527371421
33000,598,2766.028110256529
33200,590,2791.5387587726705
33400,590,2679.7283871903674
33600,596,2763.749600311034
33800,591,2661.323700122859
34000,590,2760.980269260873
34200,594,2767.9179738739276
34400,594,2698.8679415165734
34600,593,2814.352620033399
34800,588,2710.3019573566103
35000,597,2806.1692926010005
35200,592,2659.09744299546
35400,593,2713.506108945192
35600,598,2720.407309935981
35800,596,2796.3473967166356
36000,597,2792.2416708859655
36200,597,2792.009377309184
36400,591,2690.3553584340507
36600,594,2830.1531386150878
36800,592,2724.395970773918
37000,597,2859.579933829968
37200,588,2722.400957628652
37400,599,2810.497419797911
37600,596,2881.7783714433504
37800,598,2832.8236766108485
38000,599,2847.991810284253
38200,599,2935.918000763082
38400,596,2863.9078756142017
38600,595,2820.7306994393507
38800,594,2702.106207901753
39000,596,2861.389191468094
39200,597,2884.8027705962904
39400,594,2803.3058925065357
39600,597,2822.486323709598
39800,597,2803.370528770709
40000,596,2814.0332208094705
40200,598,2808.7827055819575
40400,592,2856.357507185935
40600,589,2773.3085406001833
40800,593,2806.146487554117
41000,593,2795.2576027823925
41200,595,2823.0644475547447
41400,595,2736.851816647553
41600,596,2813.407238902485
41800,596,2804.2719752617045
42000,595,2850.9494777963405
42200,594,2800.445933460903
42400,597,2713.659573752774
42600,598,2856.5057610408885
42800,596,2815.05078705821
43000,594,2762.612856559326
43200,594,2814.687371120643
43400,594,2838.771469091025
43600,595,2834.7425111200123
43800,594,2773.078783995357
44000,594,2875.616075196312
44200,591,2834.929543022366
44400,598,2915.3569826211806
44600,590,2886.1278261880175
44800,596,2876.377824123892
45000,595,2842.3833400721387
45200,595,2882.594894357584
45400,592,2779.7099919490006
45600,591,2850.8925569151143
45800,596,2941.902482938157
46000,596,2843.639890600562
46200,596,2819.008086641855
46400,591,2852.2646854022714
46600,599,2859.3954867581765
46800,599,2866.845410375339
47000,598,2822.295632508509
47200,590,2758.881460799252
47400,599,2902.445227425572
47600,595,2875.3213604090042
47800,598,2848.6289952700627
48000,597,2872.473230198625
48200,594,2924.944407686277
48400,596,2897.9686119949597
48600,576,2656.288005686514
48800,599,2955.310742004093
49000,598,2920.1616111994967
49200,592,2832.427309027147
49400,595,2802.179532005366
49600,593,2867.6925924796715
49800,583,2733.019432872964
50000,578,2645.935994067211
50200,596,2797.4617329674775
50400,591,2772.2401933452434
50600,594,2847.0336859102395
50800,595,2875.354385959906
51000,599,2928.712756012703
51200,595,2857.1600646112533
51400,595,2843.2014033130704
51600,599,2903.3493568538415
51800,599,2949.1539249092098
52000,593,2850.920487087212
52200,594,2910.581154660667
52400,594,2921.658354920417
52600,589,2773.8046520729754
52800,596,2850.5507119363797
53000,594,2773.4600868961156
